timestamps,TP9,AF7,AF8,TP10,Right AUX
1714918421.857,-82.52,-77.148,-54.688,-61.035,65
1714918421.861,-72.266,-46.875,-43.945,-35.156,62
1714918421.865,-65.43,-44.434,-46.387,-39.551,81
1714918421.869,-32.227,-43.457,-29.785,-19.043,-58
1714918421.873,-50.293,-63.965,-43.945,-40.527,18
1714918421.876,-8.301,-18.555,-9.277,9.766,-40
1714918421.88,49.805,38.574,46.387,67.383,38
1714918421.884,-55.664,-31.738,-26.367,-44.922,11
1714918421.888,-83.984,-42.969,-50.293,-74.707,-28
1714918421.892,-42.48,-29.297,-36.621,-55.664,97
1714918421.895,-60.547,-48.34,-48.828,-49.316,-46
1714918421.899,-73.73,-53.711,-64.453,-54.688,-81
1714918421.903,-59.082,-44.434,-56.152,-56.152,16
1714918421.907,-50.293,-24.902,-43.457,-41.504,69
1714918421.911,-54.199,-33.691,-50.293,-54.199,12
